Wall time,Step,Value
1658902467.441565,9,0.2071644365787506
1658902491.5712986,19,0.3613063395023346
1658902515.3383539,29,0.5539206266403198
1658902543.3154178,39,0.5446885824203491
1658902567.0923822,49,0.6163797378540039
1658902590.8263135,59,0.650490939617157
1658902614.5108826,69,0.641440749168396
1658902641.6454175,79,0.622227668762207
1658902665.328415,89,0.5835819244384766
1658902689.0514207,99,0.7016187906265259
1658902716.1517153,109,0.6561132073402405
1658902739.8749464,119,0.6467850804328918
1658902763.6435018,129,0.6347898244857788
1658902787.3904593,139,0.6403880715370178
1658902814.5654805,149,0.7001864314079285
1658902838.2985933,159,0.5339891314506531
1658902862.0158756,169,0.7404208183288574
1658902885.7851624,179,0.7061744928359985
1658902912.8480968,189,0.7437770366668701
1658902936.5800815,199,0.696834146976471
1658902960.2840657,209,0.7735097408294678
1658902987.4750817,219,0.7531874775886536
1658903011.2300947,229,0.663269579410553
1658903034.9583616,239,0.7898533344268799
1658903058.725399,249,0.7996717691421509
1658903085.902,259,0.7234610915184021
1658903109.6491852,269,0.6905041337013245
1658903133.3511996,279,0.6935029029846191
1658903160.5058255,289,0.7062752842903137
1658903184.2144508,299,0.6840817332267761
1658903207.9321392,309,0.7000608444213867
1658903231.649121,319,0.7736989855766296
1658903258.7828405,329,0.683501660823822
1658903282.5324867,339,0.5533809065818787
1658903306.2714558,349,0.7397246360778809
1658903330.015142,359,0.7796223163604736
1658903357.1150475,369,0.7222695350646973
1658903380.8260171,379,0.679790735244751
1658903404.613003,389,0.7584806680679321
1658903431.7260282,399,0.7551096081733704
1658903455.484025,409,0.7156700491905212
1658903479.2800934,419,0.7663736939430237
1658903503.230146,429,0.7884454131126404
1658903530.4307144,439,0.7456715106964111
1658903554.2317538,449,0.7174196839332581
1658903577.9839864,459,0.7483540177345276
1658903605.1740105,469,0.7741607427597046
1658903628.8850365,479,0.7840054035186768
1658903652.5747862,489,0.7622692584991455
1658903676.355774,499,0.7214714884757996
1658903703.4839308,509,0.7227219343185425
1658903727.2469444,519,0.6144286394119263
1658903751.0599847,529,0.7951995730400085
1658903774.8256917,539,0.7876601815223694
1658903801.980222,549,0.8168351054191589
1658903825.7219071,559,0.7566648721694946
1658903849.5638235,569,0.7761865258216858
1658903876.5515716,579,0.8570995330810547
1658903900.2826803,589,0.7447750568389893
1658903924.0686996,599,0.845186173915863
1658903947.8147125,609,0.8318617343902588
1658903974.9725811,619,0.7864694595336914
1658903998.697929,629,0.6998422741889954
1658904022.4316473,639,0.7787149548530579
1658904049.4961758,649,0.7208182215690613
1658904073.2811759,659,0.751430332660675
1658904097.0952528,669,0.7249326705932617
1658904120.8843014,679,0.8217774629592896
1658904147.9284859,689,0.7337225079536438
1658904171.6920824,699,0.6069880723953247
1658904195.3660145,709,0.8470866084098816
1658904219.1288528,719,0.7995849847793579
1658904246.2793965,729,0.8084363341331482
1658904270.0304828,739,0.7213693261146545
1658904293.7204804,749,0.8384737372398376
1658904320.8143618,759,0.8204204440116882
1658904344.5633626,769,0.7008187770843506
1658904368.3622189,779,0.8420824408531189
1658904392.0790358,789,0.8090540170669556
1658904419.1825151,799,0.7335330247879028
1658904442.898294,809,0.736056387424469
1658904466.617287,819,0.8073070049285889
1658904493.7490666,829,0.7724235653877258
1658904517.4878561,839,0.7959765195846558
1658904541.2148502,849,0.7914315462112427
1658904565.0138555,859,0.7770742774009705
1658904592.0547671,869,0.7672727108001709
1658904615.767751,879,0.690866231918335
1658904639.462904,889,0.8687751889228821
1658904663.259753,899,0.8569401502609253
1658904690.3892145,909,0.8643982410430908
1658904714.1632054,919,0.7899498343467712
1658904737.9201777,929,0.8469370007514954
1658904764.9761076,939,0.8312981724739075
1658904788.6640432,949,0.745218813419342
1658904812.4453714,959,0.8551798462867737
1658904836.2143085,969,0.8197580575942993
1658904863.2627065,979,0.8057481050491333
1658904887.013705,989,0.7402553558349609
1658904910.7270684,999,0.7961789965629578
1658904937.8164325,1009,0.8008937835693359
1658904961.4994645,1019,0.822928786277771
